area,RH,wind,temp,occurance
0,51,6.7,8.2,0
0,33,0.9,18,0
0,33,1.3,14.6,0
0,97,4,8.3,0
0,99,1.8,11.4,0
0,29,5.4,22.2,0
0,27,3.1,24.1,0
0,86,2.2,8,0
0,63,5.4,13.1,0
0,40,4,22.8,0
0,51,7.2,17.8,0
0,38,4,19.3,0
0,72,6.7,17,0
0,42,2.2,21.3,0
0,21,4.5,26.4,0
0,44,5.4,22.9,0
0,27,5.4,15.1,0
0,47,4.9,16.7,0
0,35,4,15.9,0
0,44,4.5,9.3,0
0,40,2.7,18.3,0
0,38,2.7,19.1,0
0,44,4.5,21,0
0,43,5.8,19.5,0
0,32,5.8,23.7,0
0,60,5.4,16.3,0
0,34,5.8,19,0
0,48,1.3,19.4,0
0,24,2.7,30.2,0
0,39,3.6,22.8,0
0,24,3.6,25.4,0
0,78,7.6,11.2,0
0,37,1.8,20.6,0
0,39,3.6,17.7,0
0,32,2.7,21.2,0
0,62,4.5,18.2,0
0,24,4.5,21.7,0
0,60,5.4,11.3,0
0,27,4,17.8,0
0,43,2.7,14.1,0
0,37,3.1,23.3,0
0,42,6.7,18.4,0
0,54,5.4,16.6,0
0,48,2.7,19.6,0
0,74,4.9,12.9,0
0,24,4,25.9,0
0,70,3.6,14.7,0
0,36,3.1,23,0
0,35,1.8,11.8,0
0,46,5.8,11,0
0,17,1.3,20.8,0
0,34,2.2,21.5,0
0,42,4.9,20.4,0
0,42,4.9,20.4,0
0,45,3.6,17.6,0
0,24,2.2,27.7,0
0,63,4.9,17.8,0
0,50,2.7,13.8,0
0,40,5.4,13.9,0
0,51,0.9,12.3,0
0,39,5.8,11.5,0
0,59,6.3,5.5,0
0,35,4.9,18.8,0
0,33,2.7,20.8,0
0,31,3.1,23.1,0
0,44,4.5,18.6,0
0,37,4.5,23,0
0,33,5.4,19.6,0
0,33,6.3,19.6,0
0,26,4.5,17.2,0
0,27,7.6,15.8,0
0,37,3.6,17.7,0
0,25,6.3,15.6,0
0,43,4.5,17.3,0
0,30,1.3,27.6,0
0,79,3.1,6.7,0
0,43,3.1,15.7,0
0,72,3.1,8.3,0
0,66,2.7,14.7,0
0,19,6.7,21.6,0
0,39,6.3,19.5,0
0,44,2.2,17.9,0
0,51,4.5,18.6,0
0,47,0.9,16.6,0
0,45,3.6,20.2,0
0,15,0.9,21.5,0
0,27,2.2,25.4,0
0,34,2.2,22.4,0
0,36,3.6,25.3,0
0,25,4.9,17.4,0
0,59,5.8,14.7,0
0,24,5.4,17.4,0
0,32,6.3,20.8,0
0,43,4.9,18.2,0
0,22,2.7,23.4,0
0,64,1.3,17.8,0
0,48,1.8,12.7,0
0,24,5.4,17.4,0
0,87,4.5,11.6,0
0,39,5.4,19.8,0
0,39,5.4,19.8,0
0,66,5.4,14.4,0
0,40,4,20.1,0
0,29,4.5,24.1,0
0,78,3.1,5.3,0
0,52,6.3,12.7,0
0,29,3.1,18.2,0
0,33,3.1,21.4,0
0,45,3.1,20.3,0
0,56,5.4,17.4,0
0,43,5.8,13.7,0
0,18,4.5,18.8,0
0,39,3.6,22.8,0
0,35,2.7,18.9,0
0,27,7.6,15.8,0
0,27,6.3,15.5,0
0,30,6.3,11.6,0
0,27,4.9,15.2,0
0,30,4,10.6,0
0,36,3.1,19.6,0
0,74,2.2,10.3,0
0,43,5.4,17.1,0
0,42,5.4,22.5,0
0,45,3.1,17.9,0
0,50,5.4,19.8,0
0,24,5.4,20.6,0
0,49,2.2,9,0
0,43,3.1,17.2,0
0,46,3.6,15.9,0
0,35,0.9,15.4,0
0,40,2.7,15.4,0
0,39,3.1,14,0
0,46,4.9,10.6,0
0,42,3.1,17.6,0
0,38,2.7,14.9,0
0,52,5.8,17.6,0
0,58,1.3,17.2,0
0,66,3.1,15.6,0
0.36,42,2.7,18,1
0.43,38,2.2,21.7,1
0.47,39,1.8,21.9,1
0.55,31,4.5,23.3,1
0.61,51,8.9,21.2,1
0.71,53,5.4,16.6,1
0.77,32,5.4,23.8,1
0.9,22,4,27.4,1
0.95,40,5.4,13.2,1
0.96,28,3.6,24.2,1
1.07,43,6.7,17.4,1
1.12,25,4.5,23.7,1
1.19,39,5.4,23.2,1
1.36,29,2.2,24.8,1
1.43,43,1.8,24.6,1
1.46,47,4.9,20.1,1
1.46,27,2.7,29.6,1
1.56,47,1.3,16.4,1
1.61,27,2.2,28.6,1
1.63,45,3.6,18.4,1
1.64,35,4,20.5,1
1.69,34,5.8,19,1
1.75,29,3.1,16.1,1
1.9,41,4,20.3,1
1.94,31,8.5,15.2,1
1.95,56,1.8,17.8,1
2.01,67,2.2,17.8,1
2.14,70,4.5,5.3,1
2.29,47,0.9,16.6,1
2.51,33,4.5,23.4,1
2.53,26,9.4,14.6,1
2.55,45,2.2,20.7,1
2.57,35,1.8,21.9,1
2.69,50,4,17.4,1
2.74,39,5.4,20.1,1
3.07,39,2.2,17.7,1
3.5,53,1.8,14.2,1
4.53,39,4.9,20.3,1
4.61,54,5.8,5.8,1
4.69,44,2.7,19.2,1
4.88,45,2.2,18.3,1
5.23,66,5.4,14.4,1
5.33,32,6.7,23.9,1
5.44,32,4,19.1,1
6.38,53,2.2,12.4,1
6.83,45,4.5,16.8,1
6.96,34,4.9,20.8,1
7.04,46,3.1,17.6,1
7.19,39,5.8,11.5,1
7.3,42,2.2,21,1
7.4,42,0.9,13.3,1
8.24,60,4,11.5,1
8.31,33,4,11.7,1
8.68,28,2.7,24.2,1
8.71,22,4.5,24.6,1
9.41,25,4,24.3,1
10.01,22,4.5,24.6,1
10.02,36,5.4,23.5,1
10.93,54,5.8,5.8,1
11.06,15,0.9,21.5,1
11.24,59,6.3,13.9,1
11.32,38,3.6,22.6,1
11.53,33,2.2,21.6,1
12.1,54,3.6,12.4,1
13.05,68,2.2,8.8,1
13.7,37,2.7,20.2,1
13.99,64,4,15.1,1
14.57,34,1.8,22.1,1
15.45,31,7.2,22.9,1
17.2,37,2.2,20.7,1
19.23,33,6.3,19.6,1
23.41,26,4.9,23.2,1
24.23,25,3.1,18.4,1
26,96,5.8,5.1,1
26.13,47,4.9,20.1,1
27.35,46,5.8,11,1
28.66,27,4.9,17,1
28.66,27,4.9,17,1
29.48,60,1.3,16.9,1
30.32,73,6.3,12.4,1
31.72,19,1.3,19.4,1
31.86,27,3.1,15.2,1
32.07,59,3.1,16.2,1
35.88,49,3.6,18.6,1
36.85,46,5.8,11,1
37.02,79,3.6,13.4,1
37.71,57,4.5,15.4,1
48.55,39,4.9,22.9,1
49.37,44,4,16.1,1
58.3,34,4.5,20.1,1
64.1,26,3.1,28.3,1
71.3,43,4,16.4,1
88.49,21,4.5,26.4,1
95.18,27,3.1,27.8,1
103.39,43,2.7,18.7,1
105.66,36,3.1,24.3,1
154.88,25,3.1,17.7,1
196.48,41,5.8,19.6,1
200.94,46,1.8,18.2,1
212.88,40,2.2,18.8,1
1090.84,27,4,25.1,1
0,75,1.8,13.4,0
0,51,2.7,15.2,0
0,20,3.1,16.7,0
10.13,66,4,15.4,1
0,73,7.6,21.9,0
2.87,54,7.6,22.4,1
0.76,38,6.3,26.8,1
0.09,39,5.4,25.7,1
0.75,70,2.2,20.7,1
0,28,2.7,28.7,0
2.47,40,0.4,21.7,1
0.68,25,3.1,26.8,1
0.24,36,3.1,24,1
0.21,37,3.6,22.1,1
1.52,38,2.7,21.4,1
10.34,41,3.1,18.9,1
0,46,4,22.3,0
8.02,41,2.2,23.9,1
0.68,44,2.7,21.4,1
0,59,0.9,20.6,0
1.38,40,1.8,23.7,1
8.85,32,4,28.3,1
3.3,84,7.6,11.2,1
4.25,42,3.1,21.4,1
1.56,39,3.6,19.3,1
6.54,53,3.1,21.8,1
0.79,54,7.6,22.1,1
0.17,55,4,19.4,1
0,24,3.1,23.7,0
0,32,3.1,21,0
4.4,53,2.7,19.1,1
0.52,56,3.1,21.8,1
9.27,58,4.5,20.1,1
3.09,47,4,20.2,1
8.98,57,8.5,4.8,1
11.19,61,8,5.1,1
5.38,61,4.9,5.1,1
17.85,21,8.5,4.6,1
10.73,21,8.5,4.6,1
22.03,21,8.5,4.6,1
9.77,21,8.5,4.6,1
9.27,59,4.9,2.2,1
24.77,24,8.5,5.1,1
0,51,4,4.2,0
1.1,35,3.1,8.8,1
24.24,46,8,7.5,1
0,40,6.3,23.4,0
0,90,7.6,12.6,0
0,49,2.7,22.1,0
0,32,1.8,24.2,0
0,30,1.8,24.3,0
0,53,1.8,18.7,0
8,39,0.9,25.3,1
2.64,40,1.3,22.9,1
86.45,28,5.4,26.9,1
6.57,67,3.6,17.1,1
0,48,1.3,22.2,0
0.9,46,1.8,14.3,1
0,45,2.2,15.4,0
0,43,4.9,19.6,0
0,90,2.7,10.6,0
0,25,4.9,20.7,0
3.52,39,5.4,19.1,1
0,38,4.5,19.2,0
0,38,4.5,19.2,0
0,94,4.9,11.3,0
0,52,2.2,19,0
0.41,53,5.4,17.1,1
5.18,35,3.6,23.8,1
0,45,1.8,16,0
0,27,2.2,24.9,0
0,27,2.7,25.3,0
14.29,28,1.8,24.8,1
0,78,6.3,12.2,0
0,27,4.9,24.3,0
1.58,41,1.8,19.7,1
0,30,2.7,18.5,0
0,24,5.8,18.6,0
3.78,24,4.9,19.2,1
0,27,2.2,21.6,0
4.41,28,6.3,21.6,1
34.36,34,7.2,18.9,1
7.21,28,4,16.8,1
1.01,28,4,16.8,1
2.18,39,2.7,12.9,1
4.42,56,1.8,13.7,1
0,27,3.1,24.2,0
0,27,3.1,24.1,0
0,32,2.2,21.2,0
0,35,1.8,19.7,0
3.33,27,4,23.5,1
6.58,27,3.1,24.2,1
15.64,28,4.5,21.5,1
11.22,41,2.2,17.1,1
2.13,54,3.1,18.1,1
0,51,5.4,18,0
0,86,1.8,9.8,0
0,44,2.2,19.3,0
56.04,34,2.2,23,1
7.48,35,2.2,22.7,1
1.47,41,1.8,20.4,1
3.93,44,2.2,19.3,1
0,51,2.2,15.7,0
0,37,1.8,20.6,0
2.18,51,4.5,15.9,1
6.1,66,4.9,12.2,1
5.83,43,3.1,16.8,1
28.19,35,2.2,21.3,1
0,75,3.6,10.1,0
0,57,4.5,17.4,0
1.64,64,3.6,12.8,1
3.71,75,3.6,10.1,1
7.31,53,6.3,15.4,1
2.03,43,3.6,20.6,1
1.72,47,2.7,19.8,1
5.97,50,2.2,18.7,1
13.06,35,4.9,20.8,1
1.26,35,4.9,20.8,1
0,55,3.6,15.9,0
0,39,2.7,19.7,0
8.12,39,2.2,21.1,1
1.09,42,2.2,18.4,1
3.94,45,4,17.3,1
0.52,64,3.1,15.2,1
2.93,53,2.2,15.9,1
5.65,35,2.7,21.1,1
20.03,45,3.1,19.6,1
1.75,38,5.4,15.9,1
0,27,3.6,16.4,0
12.64,47,4.9,16.8,1
0,77,7.6,13.8,0
11.06,77,7.6,13.8,1
0,58,4,14.2,0
0,75,0.9,10.4,0
0,42,2.7,20.3,0
18.3,78,4,10.3,1
39.35,57,4.9,15.4,1
0,54,2.2,21.1,0
174.63,42,2.2,21.9,1
0,51,5.8,8.7,0
0,100,0.9,5.2,0
7.73,39,7.2,19.3,1
16.33,63,2.7,16.2,1
5.86,29,1.8,28.2,1
42.87,58,2.7,20.5,1
12.18,44,4.5,21.3,1
16,50,2.2,20.9,1
24.59,55,5.4,20.6,1
0,48,5.4,11.6,0
28.74,34,3.1,23.3,1
0,34,3.1,23.3,0
9.96,71,6.3,7.5,1
30.18,46,2.7,20.7,1
70.76,43,4,21.9,1
0,19,7.6,15.2,0
0,68,1.8,5.3,0
51.78,62,1.8,10.1,1
3.64,55,4.9,20.4,1
3.63,33,3.6,24.3,1
0,32,3.1,25.9,0
0,34,4.5,28,0
8.16,34,4.5,28,1
4.95,46,4,22.8,1
0,36,4,25,0
0,41,3.6,21.3,0
6.04,34,2.2,21.8,1
0,27,2.2,27.9,0
3.95,67,4.9,17,1
0,46,4,14.2,0
7.8,44,3.1,19.9,1
0,31,5.4,23.4,0
0,42,2.7,14.7,0
4.62,53,9.4,8.2,1
1.63,27,4.5,22.8,1
0,33,3.6,26.4,0
0,50,4,24.1,0
746.28,27,4.9,27.5,1
7.02,39,3.1,26.3,1
0,24,5.8,13.8,0
2.44,42,5.4,24.9,1
3.05,36,4,24.8,1
185.76,36,4.5,26.2,1
0,19,4.5,30.8,0
6.3,27,3.6,29.3,1
0.72,48,4,22.3,1
4.96,31,3.6,26.9,1
0,56,2.2,20.4,0
0,56,2.2,20.4,0
2.35,33,2.2,27.9,1
0,34,5.8,26.2,0
3.2,44,4,24.6,1
0,45,3.6,19.4,0
6.36,40,4,23.3,1
0,38,6.7,23.9,0
15.34,66,4.9,20.9,1
0,45,3.6,22.2,0
0,51,1.8,23.8,0
0.54,35,1.3,26.8,1
0,73,2.7,14.2,0
6.43,53,4,23.6,1
0.33,46,2.2,19.1,1
0,58,3.6,16.2,0
1.23,29,1.8,25.5,1
3.35,64,3.1,10.9,1
0,78,8,14.8,0
9.96,58,3.6,16.2,1
0,80,4.5,17.3,0
0,70,2.2,19.1,0
0,35,8,8.9,0
0,77,4,10.5,0
0,61,4.9,19.3,0
6.43,49,5.4,23.4,1
9.71,88,4.9,11.8,1
0,65,4,17.7,0
0,54,3.1,17.4,0
0,56,3.1,16.8,0
0,48,2.7,17.9,0
0,59,2.7,16.6,0
82.75,50,4,19.9,1
3.32,64,4.9,18.9,1
1.94,72,8,15.5,1
0,64,4.9,18.9,0
0,64,4.9,18.9,0
3.71,76,7.6,14.5,1
5.39,82,6.3,4.6,1
2.14,77,5.4,5.1,1
6.84,59,0.9,4.6,1
3.18,45,5.8,10.2,1
5.55,41,5.4,11.2,1
6.61,27,3.6,13.3,1
61.13,33,9.4,13.7,1
0,27,5.8,17.6,0
38.48,40,4,18,1
1.94,79,4,14.3,1
70.32,50,3.1,24.5,1
10.08,35,2.7,26.4,1
3.19,40,9.4,22.7,1
1.76,28,1.3,27.2,1
7.36,45,4,26.1,1
2.21,82,4.5,18.2,1
278.53,57,4.9,22.6,1
2.75,25,4.5,30.2,1
0,22,4.9,30.2,0
1.29,40,5.8,23.4,1
0,27,5.4,31,0
26.43,25,4,33.1,1
2.07,28,3.6,30.6,1
2,43,6.3,24.1,1
16.4,34,3.6,26.4,1
46.7,71,7.6,19.4,1
0,58,1.3,20.6,0
0,33,4,28.7,0
0,21,4.5,32.4,0
0,27,2.2,32.4,0
43.32,29,4.5,27.5,1
8.59,30,4.9,30.8,1
0,42,2.2,23.9,0
2.77,26,3.1,32.6,1
14.68,27,2.2,32.3,1
40.54,26,2.7,33.3,1
10.82,63,4.9,27.3,1
0,65,4.9,21.6,0
0,65,4.9,21.6,0
0,69,4.9,20.7,0
1.95,30,4.9,29.2,1
49.59,29,4.9,28.9,1
5.8,35,1.8,26.7,1
0,73,8.5,18.5,0
0,41,3.6,25.9,0
0,41,3.6,25.9,0
2.17,71,7.6,21.1,1
0.43,62,5.4,18.2,1
0,35,2.7,27.8,0
6.44,32,2.7,27.8,1
54.29,71,5.8,21.9,1
11.16,70,6.7,21.2,1
0,42,4,25.6,0
0,31,4.5,11.8,0
